"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 01 14:32:48 GMT 2025","Wed Oct 01 14:33:15 GMT 2025","27060","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addExistingCandidateError","Проверка невозможности добавления кандидата с уже существующим емейлом",""
"passed","Wed Oct 01 14:30:30 GMT 2025","Wed Oct 01 14:30:33 GMT 2025","3134","","Login tests","","tests.authandregistration.LoginTests","successfulLogin_redirectsToDashboard","SS-T30: Валидные email/пароль → редирект на /dashboard",""
"passed","Wed Oct 01 14:30:36 GMT 2025","Wed Oct 01 14:30:39 GMT 2025","2828","","Login tests","","tests.authandregistration.LoginTests","invalidEmail_showsFormatError","SS-T63: Невалидный email → ошибка формата",""
"passed","Wed Oct 01 14:34:59 GMT 2025","Wed Oct 01 14:35:04 GMT 2025","5851","","Добавление вопроса через UI","","tests.managetests.AddQuestionUiTests","addQuestion_success","Добавление вопроса: валидные данные → вопрос создаётся",""
"passed","Wed Oct 01 14:35:40 GMT 2025","Wed Oct 01 14:35:44 GMT 2025","4009","","Создание теста через UI","","tests.managetests.CreateTestUiTests","createTestWithEmptyName","Создание теста с пустым именем показывает ошибку",""
"passed","Wed Oct 01 14:35:36 GMT 2025","Wed Oct 01 14:35:40 GMT 2025","3761","","Создание теста через UI","","tests.managetests.CreateTestUiTests","createTestButtonIsVisible","Кнопка 'Создать тест' отображается",""
"passed","Wed Oct 01 14:29:54 GMT 2025","Wed Oct 01 14:29:56 GMT 2025","2681","","Назначение теста кандидату через API","","tests.sessiontests.SessionsApiTests","createSession_success","Назначить тест кандидату: 201 + схема ответа",""
"passed","Wed Oct 01 14:29:57 GMT 2025","Wed Oct 01 14:29:58 GMT 2025","1264","","Добавление вопросов через API","","tests.questiontests.QuestionsApiTests","createQuestion_missingTestId_400","Создание вопроса: проверка статуса 400, если отсутствует testId",""
"passed","Wed Oct 01 14:30:14 GMT 2025","Wed Oct 01 14:30:15 GMT 2025","1300","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestDescription","Редактирование теста: изменение описания",""
"passed","Wed Oct 01 14:35:26 GMT 2025","Wed Oct 01 14:35:30 GMT 2025","3593","","Создание теста через UI","","tests.managetests.CreateTestUiTests","openTestsPage","Открытие страницы 'Тесты'",""
